2.1,上海-宝山区,Python开发工程师（互联网）
1.2,深圳-龙岗区,python爬虫工程师
0.9,广州,Python开发工程师
1.7,上海-徐汇区,python开发工程师--爬虫方向
1.0,上海-普陀区,python 开发工程师
1.9,广州,python爬虫开发工程师
1.9,北京-朝阳区,Python高级开发工程师
1.7,北京-朝阳区,python游戏服务端开发主程序员
0.7,广州-萝岗区,python工程师/perl工程师/php工程师
0.7,深圳-龙岗区,python工程师
3.2,上海-杨浦区,资深Python后端开发/架构师
1.2,上海-杨浦区,python开发
0.9,上海-闵行区,Java/Python服务器后台开发
1.2,北京-海淀区,Python开发工程师
2.1,北京-海淀区,python讲师
1.1,上海-徐汇区,python 软件工程师
2.2,北京-朝阳区,Python高级开发工程师
1.2,上海-浦东新区,Python开发工程师
1.2,上海-浦东新区,Python 程序员 (数据应用岗)
1.0,广州-天河区,python工程师
1.2,上海-浦东新区,Python工程师
1.7,北京-海淀区,搜狐媒体-社交产品中心-Python开发工程师
1.9,上海,高级PHP开发工程师（需懂些Python）
1.1,广州-越秀区,"python运维工程师(zabbix,私有云方向)"
0.9,广州,Python软件开发工程师
1.2,北京-朝阳区,Python后端开发工程师
1.4,上海-徐汇区,Python开发工程师
1.1,北京,python爬虫工程师
0.8,异地招聘,气象卫星遥感应用开发/c++/java/Python/Fortran
1.9,北京-海淀区,Python研发工程师
1.2,异地招聘,python
1.2,北京,Python开发工程师
1.7,广州-天河区,Python讲师
1.9,北京,Python开发工程师
2.7,北京,Python高级开发工程师
0.9,广州-天河区,python后台开发工程师
1.2,北京-朝阳区,java/python后台工程师
1.4,深圳,python开发工程师
1.0,上海,风险软件工程师(Python方向)
1.9,深圳-罗湖区,Python开发工程师
1.4,北京,Python开发工程师
1.2,上海,python开发工程师
1.7,上海,Python开发工程师
1.1,北京-朝阳区,Python开发工程师
1.1,北京-东城区,Python开发工程师
1.2,广州-白云区,高级Python开发工程师/Django开发工程师/python大数据
1.2,上海-静安区,爬虫抓取工程师（java，python）
1.4,北京-昌平区,Python开发工程师（maya插件）
1.1,广州,python开发工程师/python爬虫/python数据挖掘
1.1,北京,Python研发工程师（云安全研发部1702）
1.7,北京,Python讲师
1.0,广州-增城,Python开发工程师
1.7,北京,Python开发工程师
1.7,上海-浦东新区,高级Python开发工程师
1.2,上海-浦东新区,python工程师
1.2,深圳-南山区,python软件开发工程师/运维开发工程师
1.2,北京,Python开发工程师
1.2,深圳-南山区,业务运维工程师（python）
1.7,北京,Python/node程序员
1.8,上海-杨浦区,php / ruby / python / nodejs / go 软件工程师
1.0,上海-徐汇区,python软件开发工程师
1.6,上海-浦东新区,Python开发工程师
1.2,上海-长宁区,Python开发工程师
1.7,上海-徐汇区,python开发工程师
1.7,北京-海淀区,Python高级开发工程师
1.2,上海-普陀区,Python后端开发工程师
1.2,深圳,python开发工程师
1.1,广州-天河区,python 工程师
2.2,北京-海淀区,Senior Software Engineer- Python
2.7,上海-黄浦区,资深软件工程师 (Python)
1.2,北京-东城区,python工程师
0.8,广州-天河区,python数据采集工程师
1.2,深圳-福田区,Python开发工程师
1.5,北京-海淀区,Python开发工程师
0.8,广州-海珠区,Python开发工程师
0.9,北京,PYTHON开发工程师
1.2,深圳,Python开发工程师
1.7,北京-海淀区,Python开发工程师-爱智康
1.8,深圳-南山区,Python/PHP 语言开发工程师-YL
0.8,广州-天河区,PHP/Python ERP软件开发工程师
2.1,北京-朝阳区,高级python开发工程师
1.2,上海-徐汇区,python（应届生）
1.2,上海,初级python开发工程师
1.2,北京-海淀区,liunx运维工程师（有python开发经验）
1.2,北京-朝阳区,Python运维开发工程师
1.2,深圳-龙华新区,Python数据挖掘工程师（爬虫方向）
1.1,上海-浦东新区,Python工程师
2.4,广州-天河区,资深Python工程师
1.7,北京-海淀区,Python开发工程师
1.4,上海-闵行区,Python web开发工程师
1.2,上海,python Web开发工程师
1.0,深圳,Python高级开发工程师
1.7,上海,Web 开发工程师 - Python
2.1,北京-海淀区,Python工程师
1.7,异地招聘,Python开发工程师
1.2,北京,python开发工程师-北京-02211
1.1,深圳,软件开发工程师（python）
2.4,北京-海淀区,Python服务器工程师-小米电视
0.9,北京-海淀区,Python工程师（爬虫方向）
1.7,北京-朝阳区,python开发
0.8,深圳-南山区,Python开发工程师
0.8,深圳-福田区,PHP、Python程序员
1.8,上海-浦东新区,Python程序员
2.2,北京-丰台区,Python开发工程师
2.2,北京-海淀区,Python开发工程师
1.2,北京-海淀区,C++/Python 开发人员
0.8,广州,Python高级开发工程师
0.9,北京-西城区,python测试工程师-长椿街-wx
1.2,上海,python数据挖掘研究员
0.9,广州-天河区,Python软件开发师
0.9,上海-卢湾区,python开发工程师
0.9,上海-闸北区,Python后端数据工程师
1.7,广州-天河区,python/c工程师
2.4,上海-浦东新区,Python高级开发工程师
1.6,北京,python开发工程师
1.9,深圳-南山区,Python开发工程师
2.7,北京,python开发工程师-KingFile
1.2,深圳-福田区,Python开发工程师
1.3,上海-普陀区,Python软件工程师
1.9,北京,Python研发工程师-爬虫方向
1.4,深圳-南山区,Python开发工程师
1.9,北京-海淀区,Python开发工程师
1.7,上海,软件工程师 - Python
1.9,北京,python讲师(000554)
1.1,北京-朝阳区,Python爬虫工程师
1.4,上海-浦东新区,Python开发工程师
1.9,北京,Python高级开发工程师
1.6,北京-朝阳区,Python工程师
1.7,北京-朝阳区,python工程师
1.1,北京-海淀区,Python 开发工程师
1.7,上海,Python 后端工程师
1.4,上海-宝山区,后端服务器程序员python优先
1.7,北京-朝阳区,Python开发工程师
1.3,广州,高级Python开发工程师
0.9,上海-徐汇区,数据工程师（python）
1.7,北京-朝阳区,python高级开发工程师
1.7,深圳-龙岗区,Python工程师/软件工程师
1.2,深圳-龙岗区,软件开发工程师（.NET、Python）
1.7,深圳-南山区,python培训讲师（专***）
2.1,上海-浦东新区,Python测试开发工程师
1.3,北京-朝阳区,Python开发工程师
1.2,上海,Python开发工程师
1.2,北京-海淀区,Python后端研发
3.4,上海-浦东新区,Python开发工程师
0.9,北京-朝阳区,C++/Python研发工程师
1.1,深圳-南山区,python后台开发
1.0,北京-东城区,Python软件工程师
0.9,上海,Python 开发工程师（外派）
2.7,北京-朝阳区,Python Engineer
1.2,广州-天河区,Python web开发工程师
1.8,北京-东城区,python工程师
1.2,深圳-福田区,Python开发工程师（爬虫经验）+准上市公司+福利好
1.1,上海-浦东新区,Python 后端开发工程师
1.7,上海-浦东新区,测试开发工程师（C++/python）
1.7,上海-徐汇区,python
1.4,北京-朝阳区,python爬虫工程师
1.2,广州-天河区,Python 数据采集工程师
1.2,北京-朝阳区,Python工程师
1.2,上海-长宁区,Python开发工程师
2.7,上海-黄浦区,Python开发培训讲师（全职或兼职）
1.1,北京-怀柔区,Python工程师，对接VNPY系统
1.4,北京-朝阳区,Python工程师
2.4,北京-海淀区,Python Web后端工程师
3.6,深圳,高级python工程师
1.2,北京-朝阳区,Python爬虫工程师
1.7,北京-朝阳区,数据采集工程师-python
1.1,北京-朝阳区,Python工程师
2.7,异地招聘,架构师（python)
1.4,北京-朝阳区,Python开发工程师
1.3,北京-海淀区,驻京航天部门python/lua动态语言程序员
2.2,上海-浦东新区,Python高级开发工程师
1.0,深圳-宝安区,Python开发工程师
1.6,上海-浦东新区,Java/Python/Hadoop高级软件研发工程师
1.2,北京,Python工程师
1.2,上海,python开发工程师
2.1,上海-浦东新区,Python开发工程师
2.2,上海-杨浦区,Python开发工程师
1.7,北京-海淀区,Python开发工程师
2.7,广州-荔湾区,高级python开发工程师(12952)
2.8,北京-海淀区,Python开发工程师
0.8,深圳-罗湖区,Python开发工程师（大数据）
1.7,深圳-福田区,Python开发工程师
1.2,上海,Python 高级软件工程师
1.1,上海,Python 中级开发工程师
1.0,北京-海淀区,Python开发工程师
2.4,上海-杨浦区,爬虫工程师(Python方向)
1.0,北京-朝阳区,Python开发工程师-云计算方向
1.2,上海-浦东新区,Python开发实习生
1.2,北京-朝阳区,Python高级工程师
1.7,上海-闵行区,Python开发工程师
1.1,上海-长宁区,Data Analytics Developer - Python
1.2,北京-海淀区,python工程师
1.7,上海,Python高级开发工程师
1.4,北京-海淀区,Python web应用开发程序员
1.7,北京-海淀区,php/Java/Python/C++开发工程师-平台
1.2,上海-徐汇区,Python开发
1.2,异地招聘,Python高级开发工程师
1.2,北京-西城区,Python 中高级工程师（爬虫方向）
1.7,深圳-福田区,Python高级开发工程师
1.4,上海-黄浦区,python开发工程师
1.7,上海,编程课程设计（熟悉python）
2.0,上海-浦东新区,后端开发 -Python/高级软件开发
1.2,异地招聘,Python开发工程师
3.5,异地招聘,Python工程师（代招）
2.3,上海-浦东新区,Python后端开发
1.4,上海-浦东新区,大数据python开发工程师（银行金融，大数据研发）
1.2,深圳-龙岗区,Python开发工程师
2.2,北京-石景山区,Python运维开发（外派石景山）
0.9,上海-青浦区,PYTHON开发工程师
1.0,广州-天河区,Python开发工程师+双休+五险一金
1.2,北京-大兴区,Python开发工程师(J10080)
1.1,深圳,python web开发工程师
1.7,北京,"Software Engineer  Python, Java, Cloud"
1.2,深圳,Python工程师
0.9,异地招聘,服务器开发工程师（Python）
1.1,北京-海淀区,python工程师
0.8,上海-长宁区,python开发工程师
